1	117
2	137
3	102
4	131
5	118
6	102
7	114
8	115
9	120
10	114
11	122
12	132
13	135
14	106
15	123
16	134
17	124
18	126
19	128
20	111
21	128
22	130
23	122
24	122
25	129
26	113
27	131
28	139
29	101
30	119
31	119
32	117
33	132
34	140
35	139
36	140
37	140
38	102
39	121
40	106
41	140
42	112
43	106
44	133
45	135
46	113
47	140
48	130
49	123
50	140
51	103
52	119
53	104
54	111
55	104
56	128
57	114
58	121
59	101
60	105
61	112
62	115
63	114
64	100
65	136
66	105
67	100
68	136
69	108
70	124
71	135
72	121
73	104
74	121
75	111
76	115
77	124
78	130
79	127
80	116
81	114
82	100
83	115
84	101
85	116
86	140
87	112
88	120
89	135
90	110
91	125
92	119
93	101
94	116
95	135
96	124
97	139
98	105
99	137
100	130
