1	132
2	124
3	110
4	107
5	127
6	101
7	121
8	116
9	119
10	110
11	113
12	111
13	135
14	119
15	131
16	134
17	113
18	122
19	104
20	119
21	134
22	127
23	110
24	105
25	112
26	125
27	121
28	136
29	118
30	114
31	115
32	126
33	109
34	115
35	122
36	127
37	109
38	139
39	110
40	110
41	111
42	131
43	112
44	125
45	112
46	116
47	117
48	100
49	106
50	104
51	138
52	128
53	130
54	122
55	112
56	105
57	114
58	104
59	136
60	102
61	121
62	126
63	138
64	104
65	136
66	128
67	102
68	119
69	138
70	104
71	124
72	114
73	112
74	135
75	108
76	102
77	114
78	126
79	134
80	136
81	107
82	120
83	130
84	114
85	117
86	128
87	136
88	127
89	102
90	117
91	113
92	105
93	103
94	108
95	129
96	125
97	133
98	108
99	129
100	124
