1	138
2	105
3	101
4	119
5	100
6	130
7	118
8	104
9	107
10	134
11	125
12	100
13	125
14	140
15	115
16	117
17	101
18	137
19	118
20	135
21	140
22	119
23	107
24	101
25	117
26	140
27	126
28	112
29	138
30	134
31	135
32	113
33	102
34	102
35	119
36	108
37	131
38	130
39	132
40	124
41	109
42	140
43	136
44	106
45	125
46	138
47	137
48	112
49	114
50	115
51	139
52	106
53	130
54	120
55	135
56	119
57	138
58	140
59	101
60	101
61	104
62	106
63	106
64	114
65	139
66	111
67	138
68	122
69	121
70	106
71	126
72	111
73	104
74	135
75	126
76	100
77	123
78	101
79	117
80	120
81	103
82	113
83	139
84	123
85	136
86	128
87	124
88	122
89	108
90	100
91	110
92	132
93	129
94	131
95	120
96	103
97	133
98	122
99	107
100	113
