1	136
2	104
3	108
4	130
5	109
6	140
7	112
8	132
9	127
10	101
11	137
12	104
13	122
14	128
15	127
16	120
17	134
18	120
19	116
20	103
21	118
22	108
23	125
24	105
25	104
26	103
27	114
28	134
29	102
30	125
31	104
32	101
33	136
34	132
35	122
36	138
37	102
38	101
39	119
40	119
41	137
42	110
43	110
44	120
45	103
46	138
47	140
48	100
49	140
50	132
51	125
52	112
53	139
54	129
55	128
56	127
57	120
58	103
59	125
60	105
61	126
62	118
63	130
64	101
65	137
66	136
67	108
68	130
69	106
70	129
71	118
72	133
73	101
74	138
75	107
76	108
77	139
78	104
79	101
80	107
81	104
82	113
83	135
84	111
85	100
86	133
87	103
88	107
89	104
90	135
91	117
92	139
93	117
94	113
95	134
96	118
97	121
98	108
99	123
100	108
