1	133
2	122
3	113
4	116
5	123
6	124
7	114
8	139
9	122
10	107
11	114
12	125
13	100
14	103
15	123
16	129
17	121
18	126
19	137
20	119
21	119
22	116
23	112
24	108
25	109
26	121
27	133
28	102
29	140
30	105
31	107
32	123
33	110
34	129
35	127
36	105
37	136
38	128
39	128
40	108
41	102
42	135
43	104
44	121
45	102
46	106
47	137
48	134
49	106
50	139
51	101
52	132
53	117
54	114
55	102
56	117
57	110
58	104
59	107
60	101
61	131
62	111
63	139
64	117
65	100
66	132
67	114
68	111
69	117
70	117
71	133
72	133
73	138
74	128
75	116
76	125
77	112
78	132
79	106
80	102
81	124
82	140
83	137
84	101
85	104
86	115
87	105
88	137
89	127
90	109
91	136
92	132
93	121
94	126
95	118
96	132
97	136
98	128
99	121
100	110
